ROUTE_NUMBER,ROUTE_NAME, Seq ,STOP_ID,STOP,LAT,LON
5,5:05,1,3609,Cary/Nansemond,37.555349,-77.486931
5,5:05,2,3604,Cary/Freeman,37.554544,-77.484724
5,5:05,3,3608,Cary/McCloy,37.55365,-77.482218
5,5:05,4,331,CARY/BELMONT,37.552827,-77.480022
5,5:05,5,332,CARY/SHEPPARD,37.552382,-77.478512
5,5:05,6,333,CARY/BOULEVARD,37.551618,-77.476405
5,5:05,7,3473,Cary/Robinson,37.550647,-77.473743
5,5:05,8,3472,Cary/Addison,37.549457,-77.470417
5,5:05,9,3611,Cary/Rowland,37.548527,-77.467836
5,5:05,10,2529,CARY/GRANBY,37.547494,-77.464959
5,5:05,11,3607,Cary/Lombardy,37.546267,-77.461362
5,5:05,12,3610,Cary/Randolph,37.545136,-77.458266
5,5:05,13,3605,Cary/Harrison,37.544486,-77.455505
5,5:05,14,3606,Cary/Laurel,37.544494,-77.451787
5,5:05,15,3602,Cary/Belvidere,37.543991,-77.448296
5,5:05,16,3603,Cary/Foushee,37.542268,-77.445437
5,5:05,17,350,CARY/3RD,37.540618,-77.442692
5,5:05,18,2473,CARY/6TH,37.538994,-77.44
5,5:05,19,1148,CARY/8TH,37.538037,-77.43833
5,5:05,20,1149,9TH/CARY,37.537702,-77.436692
5,5:05,21,826,9TH/MAIN,37.538421,-77.436012
5,5:05,22,3428,9th/Marshall (Mid-block between Marshall +Broad,37.541163,-77.433362
5,5:05,23,2628,TRANSFER PLAZA BAY I,37.542995,-77.431837
5,5:05,24,998,MOSBY/P,37.541795,-77.419128
5,5:05,25,3705,Leigh/11th  EB,37.542511,-77.429163
5,5:05,26,3042,MOSBY/FAIRMOUNT,37.543917,-77.417102
5,5:05,27,3044,MECHANICSVILLE PIKE/BRAUERS LANE,37.546755,-77.415752
5,5:05,28,3045,MECHANICSVILLE PIKE/FAIRFIELD,37.548648,-77.414533
5,5:05,29,1004,MECHANICSVILLE PIKE/CARVER,37.550652,-77.413335
5,5:05,30,1005,MECHANICSVILLE PIKE/PHAUP,37.552278,-77.412318
5,5:05,31,1006,WHITCOMB/MECHANICSVILLE PIKE,37.554111,-77.412237
5,5:05,32,1007,WHITCOMB/DEFOREST,37.554478,-77.414257
5,5:05,33,1009,WHITCOMB/REDWOOD,37.55401,-77.417825
5,5:05,34,1028,WHITCOMB/LEBANON,37.55366,-77.420798
5,5:05,35,1029,MECKLENBURG/WOOD,37.552853,-77.422243
5,5:05,36,2665,OLIVER HILL/HOSPITAL,37.549767,-77.423977
5,5:05,37,2700,FAIRFIELD WAY/ENTRANCE TO CITY JAIL,37.548092,-77.422791
5,5:05,38,1033,HILDRETH/FORD,37.549534,-77.419886
5,5:05,39,2667,FORD/SUSSEX,37.549965,-77.417667
5,5:05,40,1036,FORD/MECHANICSVILLE PIKE,37.549555,-77.41448
5,5:05,41,293,ACCOMODATION/GAY,37.548653,-77.417372
5,5:05,42,294,COALTER/RICHMOND,37.547632,-77.418907
5,5:05,43,295,COALTER/REDD,37.545883,-77.419662
5,5:05,44,2813,MECHANICSVILLE PIKE/LITTLEPAGE,37.5438,-77.417341
5,5:05,45,1041,MOSBY/P,37.54139,-77.419645
5,5:05,46,674,10TH/MARSHALL,37.540721,-77.432685
5,5:05,47,3706,Leigh/11th,37.542768,-77.42905
5,5:05,48,125,BROAD/9TH,37.54079,-77.433617
5,5:05,49,2644,TRANSFER PLAZA BAY E,37.542387,-77.432306
5,5:05,50,922,8TH/CLAY,37.542883,-77.433374
5,5:05,51,298,8TH/MARSHALL,37.541891,-77.43432
5,5:05,52,2965,8TH/GRACE,37.540293,-77.435842
5,5:05,53,2472,8TH/MAIN,37.538913,-77.437161
5,5:05,54,3514,Main/5th,37.540357,-77.439737
5,5:05,55,3412,Main/1st,37.542502,-77.443305
5,5:05,56,3416,Main/Monroe,37.545098,-77.44766
5,5:05,57,3414,Main/Laurel,37.545877,-77.450052
5,5:05,58,3415,Main/Harrison,37.545971,-77.455191
5,5:05,59,3414,Main/Laurel,37.54587953,-77.4501442
5,5:05,60,3414,Main/Laurel,37.54587967,-77.45014911
5,5:05,61,3414,Main/Laurel,37.54587957,-77.45014565
5,5:05,62,3414,Main/Laurel,37.54587978,-77.4501532
5,5:05,63,3414,Main/Laurel,37.54587934,-77.45013722
5,5:05,64,3414,Main/Laurel,37.54587947,-77.45014174
5,5:05,65,3417,Main/Plum,37.547005,-77.459501
5,5:05,66,3413,Main/Allen,37.548355,-77.463237
5,5:05,67,3513,Main/Rowland,37.549663,-77.466966
5,5:05,68,3418,Main/Stafford,37.55107,-77.470644
5,5:05,69,423,MAIN/BOULEVARD,37.552683,-77.475383
5,5:05,70,425,ELLWOOD/SHEPPARD,37.553585,-77.478065
